Report Name : WORK STATION,,,,,,,,
Name : WORKSTATION,,,,,,,,
Time Span: From 15 May  2024 12:00:00 AM To 14 Jun  2024 11:59:59 PM,,,,,,,,
status,,,,,value,,,
Up (%),,,,,99.33,,,
Down (%),,,,,0.67,,,
Name : WORKSTATION,,,,,,,,
Time Span: From 15 May  2024 12:00:00 AM To 14 Jun  2024 11:59:59 PM,,,,,,,,
Monitor,Type,Up (%),Up Time,Down (%),,Down Time,Maintenance (%),Maintenance Time
BSCL-ICCC-OPERATORPC2 ( 172.16.5.12 ),Ping,99.97,30 days 23 hours 46 minutes 36 seconds ,0.03,,0 days 0 hours 13 minutes 24 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC1 ( 172.16.5.11 ),Ping,97.73,30 days 7 hours 2 minutes 6 seconds ,2.27,,0 days 16 hours 53 minutes 13 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC5 ( 172.16.5.15 ),Ping,99.66,30 days 21 hours 28 minutes 13 seconds ,0.34,,0 days 2 hours 31 minutes 47 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BCP-WORKSTATION1 ( 172.25.0.11 ),Ping,98.61,30 days 13 hours 35 minutes 23 seconds ,1.39,,0 days 10 hours 20 minutes 26 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC13 ( 172.16.5.23 ),Ping,99.65,30 days 21 hours 19 minutes 11 seconds ,0.35,,0 days 2 hours 36 minutes 13 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC25 ( OperatorPC25.bscl.itms.local - 172.16.5.35 ),Ping,99.03,30 days 16 hours 42 minutes 26 seconds ,0.97,,0 days 7 hours 12 minutes 58 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC17 ( 172.16.5.27 ),Ping,99.99,30 days 23 hours 55 minutes 31 seconds ,0.01,,0 days 0 hours 4 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC33 ( 172.16.5.43 ),Ping,99.69,30 days 21 hours 41 minutes 36 seconds ,0.31,,0 days 2 hours 18 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC31 ( 172.16.5.31 ),Ping,99.98,30 days 23 hours 46 minutes 25 seconds ,0.02,,0 days 0 hours 8 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC30 ( 172.16.5.40 ),Ping,99.99,30 days 23 hours 51 minutes 56 seconds ,0.01,,0 days 0 hours 4 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC10 ( 172.16.5.20 ),Ping,99.9,30 days 23 hours 15 minutes 21 seconds ,0.1,,0 days 0 hours 44 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BCP-WORKSTATION4 ( 172.25.0.21 ),Ping,98.63,30 days 13 hours 48 minutes 25 seconds ,1.37,,0 days 10 hours 11 minutes 34 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC4 ( 172.16.5.14 ),Ping,99.99,30 days 23 hours 55 minutes 31 seconds ,0.01,,0 days 0 hours 4 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC24 ( 172.16.5.34 ),Ping,99.94,30 days 23 hours 28 minutes 32 seconds ,0.06,,0 days 0 hours 26 minutes 47 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-SIEM-PC ( 172.16.5.39 ),Ping,99.99,30 days 23 hours 55 minutes 31 seconds ,0.01,,0 days 0 hours 4 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC8 ( 172.16.5.18 ),Ping,99.42,30 days 19 hours 41 minutes 4 seconds ,0.58,,0 days 4 hours 18 minutes 55 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC11 ( 172.16.5.21 ),Ping,99.56,30 days 20 hours 34 minutes 22 seconds ,0.44,,0 days 3 hours 16 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC22 ( 172.16.5.32 ),Ping,99.97,30 days 23 hours 46 minutes 36 seconds ,0.03,,0 days 0 hours 13 minutes 24 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC23 ( 172.16.5.33 ),Ping,99.03,30 days 16 hours 42 minutes 52 seconds ,0.97,,0 days 7 hours 12 minutes 58 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BCP-WORKSTATION2 ( 172.25.0.12 ),Ping,97.12,30 days 2 hours 29 minutes 54 seconds ,2.88,,0 days 21 hours 25 minutes 30 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC7 ( 172.16.5.17 ),Ping,99.62,30 days 21 hours 10 minutes 21 seconds ,0.38,,0 days 2 hours 49 minutes 38 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC16 ( 172.16.5.26 ),Ping,99.99,30 days 23 hours 50 minutes 56 seconds ,0.01,,0 days 0 hours 4 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC20 ( 172.16.5.30 ),Ping,99.97,30 days 23 hours 46 minutes 36 seconds ,0.03,,0 days 0 hours 13 minutes 24 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC9 ( 172.16.5.19 ),Ping,99.46,30 days 19 hours 58 minutes 56 seconds ,0.54,,0 days 4 hours 1 minutes 3 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC37 ( OpertaorPC31.bscl.itms.local - 172.16.5.53 ),Ping,99.98,30 days 23 hours 51 minutes 3 seconds ,0.02,,0 days 0 hours 8 minutes 56 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC34 ( 172.16.5.44 ),Ping,99.97,30 days 23 hours 42 minutes 1 seconds ,0.03,,0 days 0 hours 13 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BCP-WORKSTATION3 ( 172.25.0.13 ),Ping,98.62,30 days 13 hours 43 minutes 57 seconds ,1.38,,0 days 10 hours 16 minutes 2 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC35 ( 172.16.5.45 ),Ping,99,30 days 16 hours 29 minutes 3 seconds ,1,,0 days 7 hours 26 minutes 21 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC15 ( 172.16.5.25 ),Ping,99.28,30 days 18 hours 35 minutes 27 seconds ,0.72,,0 days 5 hours 21 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-DataCentre ( DataCentre-PC.bscl.itms.local - 172.16.5.161 ),Ping,99.97,30 days 23 hours 37 minutes 42 seconds ,0.03,,0 days 0 hours 13 minutes 23 seconds ,0,0 days 0 hours 0 minutes 0 seconds
-BSCL-ICCC-OperatorPC26 ( 172.16.5.36 ),Ping,97.09,30 days 2 hours 16 minutes 26 seconds ,2.91,,0 days 21 hours 38 minutes 53 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC14 ( 172.16.5.24 ),Ping,99.91,30 days 23 hours 15 minutes 9 seconds ,0.09,,0 days 0 hours 40 minutes 10 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-EMS-PC ( 172.16.5.38 ),Ping,99.97,30 days 23 hours 46 minutes 36 seconds ,0.03,,0 days 0 hours 13 minutes 24 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC12 ( 172.16.5.22 ),Ping,98.56,30 days 13 hours 12 minutes 34 seconds ,1.44,,0 days 10 hours 42 minutes 45 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC19 ( 172.16.5.29 ),Ping,99.65,30 days 21 hours 19 minutes 36 seconds ,0.35,,0 days 2 hours 36 minutes 14 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC6 ( 172.16.5.16 ),Ping,99.96,30 days 23 hours 42 minutes 8 seconds ,0.04,,0 days 0 hours 17 minutes 51 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC42 ( 172.16.5.52 ),Ping,95.83,29 days 16 hours 58 minutes 30 seconds ,4.17,,1 days 7 hours 1 minutes 29 seconds ,0,0 days 0 hours 0 minutes 0 seconds
BSCL-ICCC-OPERATORPC34 ( 172.16.5.37 ),Ping,99.99,30 days 23 hours 55 minutes 31 seconds ,0.01,,0 days 0 hours 4 minutes 28 seconds ,0,0 days 0 hours 0 minutes 0 seconds
